Empresa,Marca(s),Tipo,Localidad,Teléfono,Web,Tamaño,Estado,Contacto,Email,Notas
Tu Coche Llaves en Mano,Multimarca,Segunda mano,Madrid Capital,604257113,,Pyme,Prospecto,,,
11Eleven,Multimarca,Segunda mano,La Estación,690190676,,Pyme,Prospecto,,,
14 GARAGE,Multimarca,Segunda mano,Villalbilla,665823111,,Pyme,Prospecto,,,
35 Motor,Multimarca,Segunda mano,Torres de la Alameda,655827513,,Pyme,Prospecto,,,
3C Automóvil Sales,Multimarca,Venta coches,Tres Cantos,682538012,,Pyme,Prospecto,,,
4onroad,Multimarca,Venta coches,Tres Cantos,690762896,,Pyme,Prospecto,,,
812 CARSS,Multimarca,Segunda mano,Villamayor de Santiago,638418351,,Pyme,Prospecto,,,
911 Madrid,Multimarca,Segunda mano,Meco,656282425,,Pyme,Prospecto,,,
A4 Cars Prime,Multimarca,Segunda mano,Madrid Capital,603539953,,Pyme,Prospecto,,,
Abasel Automoción,Multimarca,Venta coches,Guadalix de la Sierra,611953523,,Pyme,Prospecto,,,
Abcmotor.es,Multimarca,Segunda mano,Madrid Capital,633660780,,Pyme,Prospecto,,,
Abm Automotive,Multimarca,Segunda mano,Arroyomolinos,643146963,,Pyme,Prospecto,,,
Abrauto,Multimarca,Segunda mano,Las Rozas de Madrid,677430475,,Pyme,Prospecto,,,
AC Car Las Rozas y Pinto,Multimarca,Segunda mano,Las Rozas de Madrid,640051843,,Pyme,Prospecto,,,
ACCERA AUTOMOTIVE,Multimarca,Segunda mano,Las Rozas de Madrid,636411649,,Pyme,Prospecto,,,
Acierto Cars Luxury,Multimarca,Segunda mano,Algete,690715080,,Pyme,Prospecto,,,
ACM Ocasión,Multimarca,Segunda mano,Rivas-Vaciamadrid,628588708,,Pyme,Prospecto,,,
ACR AUTOMOVILES,Multimarca,Segunda mano,Alcalá de Henares,605825491,,Pyme,Prospecto,,,
Acurantur,Multimarca,Segunda mano,Becerril de la Sierra,676157239,,Pyme,Prospecto,,,
A&D,Multimarca,Segunda mano,Madrid Capital,605866556,,Pyme,Prospecto,,,
AJ Automóviles,Multimarca,Segunda mano,Madrid Capital,694421807,,Pyme,Prospecto,,,
AJP Drive,Multimarca,Venta coches,Madrid Capital,919996934,,Pyme,Prospecto,,,
AKI Madrid Seminuevos Certificados,Multimarca,Segunda mano,Madrid Capital,913789165,,Pyme,Prospecto,,,
ALCALA 534,Multimarca,Venta coches,Madrid Capital,913539044,,Pyme,Prospecto,,,
Alcala 534 - Grupo Paceni,Multimarca,Venta coches,Madrid Capital,913536419,,Mediana,Prospecto,,,Parte del Grupo Paceni
aleman-auto.com,Multimarca,Segunda mano,Madrid Capital,622508349,,Pyme,Prospecto,,,
Alexandra Cars By ACM,Multimarca,Segunda mano,Madrid Capital,653942623,,Pyme,Prospecto,,,
Almoauto Ford Madrid,Ford,Concesionario oficial,Madrid Capital,916429352,,Mediana,Prospecto,,,Concesionario oficial Ford
Almoauto Ford Vallecas,Ford,Concesionario oficial,Madrid (Vallecas),916429352,,Mediana,Prospecto,,,Parte del mismo grupo que Almoauto
AML,Multimarca,Segunda mano,Madrid Capital,609786618,,Pyme,Prospecto,,,
ARF Elite Motors,Multimarca,Segunda mano / Lujo,Madrid Capital,624815832,,Pyme,Prospecto,,,
ARL Cars,Multimarca,Segunda mano,Madrid Capital,659850303,,Pyme,Prospecto,,,
ANANTA CARS,Multimarca,Segunda mano,Madrid Capital,688644229,,Pyme,Prospecto,,,
Ancrisa,Multimarca,Segunda mano,Madrid Capital,609324581,,Pyme,Prospecto,,,
CS Sport Auto,Multimarca,Venta coches,Madrid Capital,,,Pyme,Prospecto,,,
SAABMADRID,DFSK / Invicta / BAIC,Concesionario oficial,Madrid Capital,,,Pyme,Prospecto,,,Marca china / distribución oficial
Fortuny Cars,Mercedes-Benz,Concesionario oficial,Madrid Capital,,,Mediana,Prospecto,,,
TAYRE,Alfa Romeo,Concesionario oficial,Madrid Capital,,,Pyme,Prospecto,,,
MOTOR VILLAGE MADRID,Alfa Romeo / Fiat / Jeep / Abarth,Concesionario oficial,Madrid Capital,,,Grande,Prospecto,,,Grupo Stellantis
HERNAN AUTOMOCION,Alfa Romeo,Concesionario oficial,Las Rozas de Madrid,,,Pyme,Prospecto,,,
FOURCAR,Multimarca,Segunda mano,Madrid Capital,,,Pyme,Prospecto,,,
Gascueña Peugeot,Peugeot,Concesionario oficial,Madrid Capital,,,Mediana,Prospecto,,,
Motor Las Rozas,Peugeot,Concesionario oficial,Las Rozas de Madrid,,,Pyme,Prospecto,,,
Alhambra Servicios Bronce,Mercedes-Benz,Taller / Venta,Madrid Capital,,,Pyme,Prospecto,,,Vinculada a Automóviles Alhambra
